sex;studytime;failures;nursery;freetime;absences;G1;G2;G3
F;2;0;yes;3;6;5;6;6
F;2;0;no;3;4;5;5;6
F;2;3;yes;3;10;7;8;10
F;3;0;yes;2;2;15;14;15
F;2;0;yes;3;4;6;10;10
M;2;0;yes;4;10;15;15;15
M;2;0;yes;4;0;12;12;11
F;2;0;yes;1;6;6;5;6
M;2;0;yes;2;0;16;18;19
M;2;0;yes;5;0;14;15;15
F;2;0;yes;3;0;10;8;9
F;3;0;yes;2;4;10;12;12
M;1;0;yes;3;2;14;14;14
M;2;0;yes;4;2;10;10;11
M;3;0;yes;5;0;14;16;16
F;1;0;yes;4;4;14;14;14
F;3;0;yes;2;6;13;14;14
F;2;0;yes;3;4;8;10;10
M;1;3;yes;5;16;6;5;5
M;1;0;yes;1;4;8;10;10
M;2;0;yes;4;0;13;14;15
M;1;0;yes;4;0;12;15;15
M;2;0;yes;5;2;15;15;16
M;2;0;yes;4;0;13;13;12
F;3;0;yes;3;2;10;9;8
F;1;2;no;2;14;6;9;8
M;1;0;yes;2;2;12;12;11
M;1;0;yes;2;4;15;16;15
M;2;0;yes;3;4;11;11;11
M;2;0;yes;4;16;10;12;11
M;2;0;no;4;0;9;11;12
M;2;0;yes;3;0;17;16;17
M;2;0;yes;5;0;17;16;16
M;2;0;no;3;0;8;10;12
M;1;0;no;4;0;12;14;15
F;1;0;yes;5;0;8;7;6
M;3;0;yes;4;2;15;16;18
M;3;0;yes;4;7;15;16;15
F;3;0;yes;3;2;12;12;11
F;1;0;yes;3;8;14;13;13
F;2;1;no;3;25;7;10;11
M;1;0;no;4;8;12;12;12
M;2;0;yes;3;2;19;18;18
M;1;0;yes;4;0;8;8;11
F;2;1;yes;3;14;10;10;9
F;2;0;yes;2;8;8;8;6
F;2;0;yes;3;12;11;12;11
M;4;0;yes;2;4;19;19;20
M;2;0;yes;3;2;15;15;14
F;2;1;no;4;2;7;7;7
F;2;0;yes;3;2;12;13;13
F;2;0;yes;3;2;11;13;13
M;1;1;yes;5;6;11;11;10
F;1;0;yes;3;0;8;10;11
F;1;0;yes;3;6;10;13;13
F;2;0;yes;3;8;8;9;10
F;2;0;yes;3;0;14;15;15
M;2;0;yes;2;4;14;15;15
M;2;0;yes;3;2;9;10;9
F;2;0;yes;2;2;15;16;16
F;2;0;yes;4;6;10;11;11
F;1;0;no;5;6;10;8;11
F;2;0;yes;4;4;8;10;9
F;3;0;yes;4;2;10;9;9
F;2;0;yes;4;0;10;10;10
F;2;0;yes;4;2;16;15;15
M;4;0;no;3;4;13;13;12
F;4;0;yes;3;4;7;7;6
F;2;0;yes;1;2;8;9;8
F;4;0;no;4;12;16;16;16
M;4;0;yes;3;0;13;15;15
M;4;0;yes;3;0;10;10;10
F;2;2;no;3;2;8;6;5
M;1;0;yes;3;2;12;12;14
F;2;0;yes;3;54;11;12;11
M;2;0;yes;3;6;9;9;10
M;4;0;yes;4;8;11;11;10
F;4;0;yes;2;0;11;11;11
M;1;3;yes;5;2;8;8;10
F;2;0;yes;4;12;5;5;5
M;1;0;no;2;2;10;12;12
M;3;0;no;3;4;11;10;11
F;2;0;yes;4;10;7;6;6
M;2;0;yes;3;4;15;15;15
F;2;0;no;3;2;9;10;10
F;2;2;yes;4;6;7;9;8
F;2;0;yes;3;4;8;7;6
F;3;0;yes;3;4;13;14;14
M;2;1;no;4;12;11;10;10
M;2;0;yes;1;18;8;6;7
F;3;0;yes;3;0;7;7;8
F;1;0;yes;5;4;16;17;18
F;2;0;yes;3;4;7;6;6
F;2;0;yes;3;0;11;10;10
M;4;0;yes;3;6;11;13;14
F;4;1;yes;1;2;7;10;10
M;1;0;no;3;2;11;15;15
F;2;0;yes;3;2;8;9;10
F;1;0;no;3;6;11;14;14
F;3;0;yes;3;0;7;9;8
M;1;0;yes;5;14;7;7;5
M;3;0;yes;4;0;16;17;17
M;1;0;no;3;4;10;13;14
F;2;0;yes;3;26;7;6;6
M;2;0;yes;4;0;16;18;18
F;4;0;yes;3;10;10;11;11
F;4;0;yes;1;8;7;8;8
M;3;0;yes;3;2;16;18;18
M;4;0;yes;3;6;10;13;13
F;3;0;yes;4;4;14;15;16
M;1;0;yes;5;6;18;19;19
F;3;1;yes;1;0;7;10;10
F;2;1;yes;1;6;10;13;13
M;1;0;yes;5;10;18;19;19
M;2;0;yes;4;8;9;9;9
M;2;0;yes;4;2;15;15;16
M;2;0;yes;4;2;11;13;14
M;1;0;yes;4;0;13;14;13
M;2;1;yes;2;20;9;7;8
M;1;0;yes;4;6;14;13;13
F;2;0;no;2;2;16;15;15
M;4;0;yes;5;6;16;14;15
F;2;0;yes;2;2;13;13;13
M;1;0;yes;4;18;14;11;13
F;2;0;yes;4;0;8;7;8
M;1;0;yes;5;0;13;13;12
F;2;0;yes;3;0;7;10;11
F;2;3;no;4;2;7;8;9
M;1;2;yes;3;0;7;4;0
M;1;0;yes;5;8;18;18;18
F;3;2;yes;2;0;12;0;0
F;1;0;no;3;0;8;0;0
F;1;0;yes;4;12;10;13;12
F;1;0;yes;2;16;12;11;11
M;2;0;yes;3;0;9;0;0
F;3;0;yes;3;0;11;0;0
M;2;0;yes;4;0;10;0;0
F;1;2;no;3;0;4;0;0
M;2;1;yes;4;0;14;12;12
F;1;0;yes;3;0;16;16;15
M;4;0;yes;2;0;7;9;0
M;1;2;yes;3;8;9;9;9
F;3;0;yes;2;2;9;11;11
F;1;0;yes;4;2;14;14;13
M;1;3;yes;4;0;5;0;0
F;2;0;yes;4;0;8;11;11
F;2;3;yes;3;0;6;7;0
F;2;0;no;3;2;10;11;11
M;1;0;yes;3;0;7;6;0
M;1;3;yes;5;0;8;9;10
M;1;3;yes;3;0;6;5;0
M;1;1;yes;4;6;12;13;14
F;3;2;yes;2;8;10;10;10
M;1;3;yes;5;0;5;0;0
F;1;0;yes;2;0;11;11;12
M;2;0;yes;4;2;11;8;8
M;1;0;yes;2;8;16;12;13
F;1;3;no;2;6;9;8;10
M;1;0;no;2;2;17;15;15
M;2;1;yes;5;4;10;12;12
M;1;2;yes;3;0;7;6;0
M;2;2;yes;4;6;5;9;7
M;1;1;yes;4;0;7;0;0
M;1;0;yes;3;2;10;10;10
M;2;3;yes;3;0;5;8;7
M;1;1;no;5;16;12;11;12
M;2;0;yes;3;4;10;10;10
F;2;0;yes;2;0;14;15;16
F;2;0;no;1;0;6;7;0
F;2;0;yes;4;0;14;14;14
M;1;2;no;4;0;6;5;0
M;2;0;yes;3;2;13;15;16
M;2;0;yes;4;0;13;11;10
F;2;3;no;3;0;8;7;0
F;2;0;yes;4;4;10;11;9
M;2;0;yes;4;4;10;9;9
F;2;0;no;4;2;13;13;11
M;2;0;no;3;4;6;5;6
M;1;0;yes;3;10;10;8;9
M;2;0;yes;2;4;10;10;11
M;2;0;yes;4;10;9;8;8
M;2;0;yes;2;2;12;13;12
F;2;0;yes;4;0;16;17;17
F;2;0;yes;3;56;9;9;8
F;2;0;yes;2;14;12;13;12
M;2;0;yes;3;12;12;12;11
M;1;0;yes;3;2;11;12;11
M;2;0;yes;2;0;15;15;15
F;2;0;no;3;6;8;7;9
M;2;0;yes;1;4;8;9;10
F;2;0;yes;3;10;11;12;13
F;2;0;yes;3;0;8;8;9
M;2;0;no;4;12;7;8;8
M;1;0;yes;3;8;8;9;10
M;1;0;yes;3;0;13;14;14
F;2;0;yes;3;0;14;15;15
M;1;0;yes;2;4;17;15;16
M;1;0;yes;3;8;9;9;10
F;1;1;yes;2;24;18;18;18
F;2;0;yes;5;0;9;9;10
F;2;0;yes;3;2;16;16;16
F;2;0;yes;4;6;8;10;10
F;2;0;no;4;4;9;9;10
F;1;0;yes;3;18;7;6;6
F;4;0;no;3;6;10;10;11
F;3;1;yes;4;28;10;9;9
F;2;3;yes;3;5;7;7;7
F;2;0;yes;3;10;11;12;13
F;1;0;yes;3;6;9;9;10
F;3;0;yes;4;6;7;7;7
F;4;0;yes;3;10;8;8;8
M;2;0;yes;3;13;12;12;13
F;2;0;yes;3;0;12;13;14
M;2;1;yes;4;15;6;7;8
F;1;0;yes;2;12;8;10;10
F;2;0;yes;4;2;14;15;15
F;2;2;yes;4;22;6;6;4
M;2;1;yes;2;13;6;6;8
F;1;0;yes;3;3;7;7;8
F;3;0;yes;3;4;9;10;10
F;2;0;yes;2;2;6;6;6
F;3;1;yes;3;0;6;5;0
F;2;0;yes;3;2;16;16;17
M;2;0;yes;3;0;12;13;13
F;3;0;no;3;0;13;13;14
F;2;1;yes;3;16;9;8;7
F;2;0;no;3;10;16;15;15
M;2;0;no;3;2;12;11;12
M;2;0;yes;3;14;10;8;9
F;3;0;yes;2;10;12;10;12
F;2;0;yes;2;14;13;13;14
M;2;0;yes;5;4;11;11;11
M;2;0;yes;5;14;11;9;9
M;2;0;yes;2;2;14;13;13
M;2;0;yes;4;18;9;7;6
M;3;0;yes;3;10;11;9;10
M;2;0;no;4;4;14;13;13
F;1;0;yes;5;20;13;12;12
F;2;0;yes;1;2;13;11;11
M;2;1;yes;5;0;7;7;0
M;2;0;yes;5;14;12;12;12
M;2;0;yes;3;2;10;11;12
M;1;0;no;4;0;6;0;0
M;1;0;yes;3;0;13;12;12
F;3;0;no;4;0;7;0;0
M;1;0;yes;3;6;18;18;18
M;1;0;yes;2;4;12;12;13
M;1;3;no;4;16;6;8;8
M;2;1;yes;3;8;3;5;5
M;1;0;no;3;0;13;15;15
M;1;1;yes;4;0;6;8;8
M;2;0;no;3;6;7;10;10
M;1;1;no;2;4;6;9;8
M;1;0;no;3;0;8;9;8
M;1;0;no;4;0;8;12;12
M;1;1;yes;4;2;7;9;8
F;4;0;yes;2;6;14;12;13
M;2;0;yes;3;12;11;11;11
M;2;0;yes;2;8;15;14;14
F;4;0;yes;4;0;10;9;0
F;2;0;yes;1;21;17;18;18
M;2;0;no;3;2;8;8;8
M;3;0;no;3;1;13;12;12
F;3;0;no;2;4;10;9;9
F;3;0;yes;3;0;9;10;0
M;2;0;yes;2;13;17;17;17
M;2;0;yes;4;2;9;9;10
F;2;0;yes;3;8;12;10;11
M;2;0;yes;4;10;10;9;10
F;2;0;yes;3;0;6;0;0
F;2;2;yes;3;15;9;9;9
F;4;0;yes;5;4;15;14;14
F;2;0;no;4;2;11;11;11
M;2;0;no;5;2;15;14;14
F;2;0;yes;3;2;10;10;10
F;2;0;yes;4;6;12;12;12
F;2;0;no;1;75;10;9;9
M;1;0;yes;2;22;9;9;9
F;2;1;yes;4;15;9;8;8
M;1;0;yes;2;8;10;11;10
M;1;0;yes;5;30;8;8;8
M;1;1;yes;4;19;11;9;10
F;4;0;yes;2;1;12;12;12
F;2;0;yes;4;4;8;9;10
F;2;0;no;4;4;10;9;11
M;2;0;no;3;2;12;10;11
F;3;0;yes;3;5;18;18;19
F;3;0;yes;3;6;13;12;12
M;3;0;yes;2;6;15;14;14
M;2;0;yes;4;9;15;13;15
M;2;0;yes;3;11;12;11;11
F;3;0;yes;2;0;15;15;15
F;2;1;yes;4;12;12;12;13
F;4;0;yes;1;6;18;18;18
M;3;0;yes;4;8;14;13;14
M;1;0;yes;4;4;14;12;11
F;2;0;yes;3;0;10;9;0
F;2;0;yes;4;10;10;8;8
F;4;0;yes;3;0;14;13;14
M;1;0;yes;4;5;16;15;16
F;2;0;yes;2;14;12;10;11
M;1;0;yes;1;0;11;11;10
F;3;0;yes;3;0;15;12;14
F;4;0;no;2;0;17;17;18
M;2;1;yes;4;20;15;14;13
F;2;1;yes;4;8;14;12;12
M;1;0;yes;5;0;17;18;18
M;1;1;yes;3;38;8;9;8
M;2;1;yes;5;0;15;12;12
F;2;1;no;4;18;12;10;10
F;2;1;no;2;0;9;9;0
F;2;0;yes;4;20;14;12;13
M;2;1;no;5;3;13;11;11
F;2;1;no;2;22;13;10;11
F;3;2;no;1;14;15;13;13
F;3;1;yes;1;40;13;11;11
F;2;0;yes;3;0;8;8;0
F;3;0;yes;3;9;9;10;9
F;3;0;no;3;0;11;11;10
F;2;0;yes;4;2;11;11;11
F;2;0;yes;2;23;13;13;13
F;2;0;yes;2;12;11;9;9
F;3;0;yes;3;3;11;11;11
F;3;0;no;4;1;12;14;15
F;3;0;yes;3;0;16;15;15
M;3;0;yes;3;3;9;12;11
M;1;0;no;3;3;14;15;16
M;1;0;yes;4;8;11;10;10
F;3;0;yes;4;7;10;9;9
F;3;0;no;3;4;14;14;14
M;4;0;yes;5;2;9;8;8
F;3;0;yes;4;7;12;14;14
F;2;0;yes;3;0;7;0;0
F;2;0;no;3;0;8;8;0
F;4;0;yes;4;0;10;9;0
F;3;0;yes;4;16;16;15;15
F;3;1;yes;4;12;14;13;13
F;2;0;yes;3;0;7;8;0
F;4;0;yes;3;7;16;15;17
F;2;0;yes;3;4;9;10;10
F;3;1;yes;3;4;11;12;11
M;2;1;yes;3;0;10;10;0
M;2;0;yes;3;11;16;15;15
F;2;1;yes;3;0;9;8;0
F;3;0;yes;3;4;11;10;10
F;3;0;yes;4;7;13;13;14
M;3;0;yes;3;9;16;15;16
M;3;0;yes;4;0;10;10;9
F;3;0;yes;4;0;13;15;15
M;1;1;no;5;10;11;13;13
M;2;3;yes;4;8;8;7;8
M;2;0;yes;5;2;13;13;13
M;1;1;yes;3;7;8;7;8
M;1;1;yes;4;4;8;8;8
M;2;0;no;5;4;13;11;11
F;2;0;yes;3;0;10;9;9
F;2;0;yes;3;4;12;13;13
F;2;0;yes;2;2;12;12;11
M;1;0;no;3;4;10;10;10
F;3;0;yes;3;0;18;16;16
F;2;0;yes;3;0;13;13;13
M;2;1;no;4;2;13;12;12
F;2;0;yes;3;0;11;11;10
F;2;0;yes;3;0;16;15;15
F;2;0;no;2;0;12;11;12
M;2;0;yes;3;4;10;10;10
M;3;0;yes;2;0;13;13;13
F;1;1;yes;2;0;7;6;0
F;1;0;yes;2;0;11;10;10
F;2;0;no;2;10;14;12;11
F;2;2;yes;2;4;7;7;9
M;1;0;yes;3;3;14;12;12
F;3;0;yes;4;8;13;11;11
F;1;0;yes;5;14;6;5;5
F;3;0;yes;4;0;19;18;19
F;3;0;yes;3;2;8;8;10
F;3;2;no;4;4;15;14;15
F;2;0;yes;4;4;8;9;10
F;2;0;yes;1;0;15;15;15
F;2;0;no;5;17;10;10;10
M;2;0;no;2;4;15;14;14
M;1;0;no;4;5;7;6;7
M;2;0;yes;4;2;11;11;10
M;1;1;yes;3;0;6;5;0
M;1;1;yes;4;14;6;5;5
F;3;0;yes;3;2;10;9;10
F;1;0;yes;4;7;6;5;6
F;3;1;no;4;0;7;5;0
F;2;0;yes;3;0;7;9;8
F;2;1;yes;1;0;6;5;0
M;2;2;yes;5;11;9;9;9
M;1;0;no;4;3;14;16;16
M;1;3;no;5;3;10;8;7
M;1;0;no;4;0;11;12;10
M;1;0;yes;2;5;8;9;9
